run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
0,Dijkstra,1000,5000,255,149,0.02510976791381836,1.6146163940429688,0.34317828840487213,0.0872792874919674,True,4
0,Bellman-Ford,1000,5000,255,149,0.041097402572631836,0.3006744384765625,0.6026487390211022,0.1741597394159233,True,4
0,A_Star,1000,5000,255,149,0.009995222091674805,0.3177776336669922,0.1600508106768724,0.04613281170731749,True,4
1,Dijkstra,1000,5000,363,56,0.017009735107421875,0.30063438415527344,0.2553535988339096,0.06996359813668428,True,6
1,Bellman-Ford,1000,5000,363,56,0.040082454681396484,0.29989051818847656,0.5615898548095191,0.15051685510488994,True,6
1,A_Star,1000,5000,363,56,0.00802922248840332,0.2944927215576172,0.15674277106439694,0.05987277152156457,True,6
2,Dijkstra,1000,5000,957,338,0.006996631622314453,0.29395389556884766,0.12242620344987055,0.044254204256142585,True,6
2,Bellman-Ford,1000,5000,957,338,0.040970802307128906,0.30054664611816406,0.5727802091354758,0.15292620892471379,True,6
2,A_Star,1000,5000,957,338,0.0019915103912353516,0.2941160202026367,0.05232941683858041,0.023203416247957985,True,6
3,Dijkstra,1000,5000,905,306,0.017979860305786133,0.30139732360839844,0.27053196547605857,0.08127696678095327,True,4
3,Bellman-Ford,1000,5000,905,306,0.04300546646118164,0.3002033233642578,0.5964230442185335,0.14532804477479394,True,4
3,A_Star,1000,5000,905,306,0.01100468635559082,0.2935514450073242,0.1819625142435967,0.055698514397764076,True,4
4,Dijkstra,1000,5000,501,401,0.01500701904296875,0.2944011688232422,0.27343300830756995,0.11593200925921766,True,8
4,Bellman-Ford,1000,5000,501,401,0.04309272766113281,0.3011178970336914,0.6282786756797737,0.18803867623648104,True,8
4,A_Star,1000,5000,501,401,0.0030057430267333984,0.2936840057373047,0.06926130614539777,0.02460030717140233,True,8
5,Dijkstra,1000,5000,300,777,0.01608586311340332,0.3016195297241211,0.22529173917289486,0.05382873858477582,True,6
5,Bellman-Ford,1000,5000,300,777,0.0380856990814209,0.29989051818847656,0.5209702146956697,0.13134321531001478,True,6
5,A_Star,1000,5000,300,777,0.00600433349609375,0.29451560974121094,0.11104194039999592,0.036043942091605545,True,6
6,Dijkstra,1000,5000,174,492,0.0010993480682373047,0.29364585876464844,0.05081370010328563,0.017527700432660907,True,4
6,Bellman-Ford,1000,5000,174,492,0.04001164436340332,0.29897499084472656,0.542266396207608,0.1276813953722489,True,4
6,A_Star,1000,5000,174,492,0.0009975433349609375,0.29248619079589844,0.038543180737644435,0.01825018104910851,True,4
